retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,3,1.0,1.0
Event contents,11,0.4727272727272727,0.45454545454545453
Full event details,5,0.2,0.2
Other entities,5,1.0,1.0
Spaces,7,0.42857142857142855,0.42857142857142855
Times,7,0.2857142857142857,0.2857142857142857
story_compare::intersection,17,0.8823529411764706,0.8823529411764706
story_composite::difference_then_sort,16,0.2291666875,0.1875
story_compute::sort_items,18,0.6111111111111112,0.6111111111111112
story_diff::set_difference,21,0.22222233333333333,0.0
story_edit::empty,7,1.0,1.0
story_edit::remove_one,15,0.5111111333333334,0.4666666666666667
story_state::latest_chapter,18,0.4166666666666667,0.3888888888888889
