retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,5,0.06666659999999999,0.0
Event contents,11,0.6363636363636364,0.6363636363636364
Full event details,5,0.6,0.6
Other entities,5,0.6,0.6
Spaces,6,0.3333333333333333,0.3333333333333333
Times,6,0.3333333333333333,0.3333333333333333
story_compare::intersection,17,0.9411764705882353,0.9411764705882353
story_composite::difference_then_sort,16,0.2291666875,0.1875
story_compute::sort_items,18,0.3888888888888889,0.3888888888888889
story_diff::set_difference,21,0.07936509523809523,0.047619047619047616
story_edit::empty,3,1.0,1.0
story_edit::remove_one,19,0.4385964736842105,0.42105263157894735
story_state::latest_chapter,18,0.4814815,0.4444444444444444
