retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,4,0.5,0.5
Event contents,10,0.45,0.4
Full event details,5,0.6,0.6
Other entities,5,1.0,1.0
Spaces,5,0.2,0.2
Times,9,0.24074077777777778,0.1111111111111111
story_compare::intersection,17,0.9411764705882353,0.9411764705882353
story_composite::difference_then_sort,16,0.6041666875,0.5625
story_compute::sort_items,18,0.4166666666666667,0.3888888888888889
story_diff::set_difference,21,0.06349209523809524,0.0
story_edit::empty,7,1.0,1.0
story_edit::remove_one,15,0.49333333333333335,0.4666666666666667
story_state::latest_chapter,18,0.3703703888888889,0.3333333333333333
