retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,4,0.5,0.5
Event contents,10,0.5,0.5
Full event details,5,0.6,0.6
Other entities,5,1.0,1.0
Spaces,5,0.4,0.4
Times,9,0.4722222222222222,0.4444444444444444
story_compare::intersection,17,1.0,1.0
story_composite::difference_then_sort,16,0.3125,0.3125
story_compute::sort_items,18,0.3611111111111111,0.3333333333333333
story_diff::set_difference,21,0.047619047619047616,0.047619047619047616
story_edit::empty,7,1.0,1.0
story_edit::remove_one,15,0.4,0.4
story_state::latest_chapter,18,0.1111111111111111,0.1111111111111111
