retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,3,1.0,1.0
Event contents,11,0.7227272727272728,0.6363636363636364
Full event details,5,0.2,0.2
Other entities,5,1.0,1.0
Spaces,7,0.5714285714285714,0.5714285714285714
Times,7,0.42857142857142855,0.42857142857142855
story_compare::intersection,17,1.0,1.0
story_composite::difference_then_sort,16,0.3125,0.3125
story_compute::sort_items,18,0.3888888888888889,0.3888888888888889
story_diff::set_difference,21,0.03174604761904762,0.0
story_edit::empty,7,1.0,1.0
story_edit::remove_one,15,0.6044444666666667,0.5333333333333333
story_state::latest_chapter,18,0.16666666666666666,0.16666666666666666
