retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,4,0.75,0.75
Event contents,10,0.6,0.6
Full event details,5,0.6,0.6
Other entities,5,1.0,1.0
Spaces,5,0.4,0.4
Times,8,0.458333375,0.375
story_compare::intersection,16,1.0,1.0
story_composite::difference_then_sort,16,0.5,0.5
story_compute::sort_items,17,0.38235294117647056,0.35294117647058826
story_diff::set_difference,21,0.03174604761904762,0.0
story_edit::empty,7,1.0,1.0
story_edit::remove_one,15,0.4,0.4
story_state::latest_chapter,18,0.2592592777777778,0.2222222222222222
