retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,3,1.0,1.0
Event contents,11,0.4727272727272727,0.45454545454545453
Full event details,5,0.2,0.2
Other entities,5,1.0,1.0
Spaces,7,0.8571428571428571,0.8571428571428571
Times,7,0.35714285714285715,0.2857142857142857
story_compare::intersection,17,1.0,1.0
story_composite::difference_then_sort,16,0.4375,0.4375
story_compute::sort_items,18,0.5,0.5
story_diff::set_difference,21,0.06349209523809524,0.0
story_edit::empty,7,1.0,1.0
story_edit::remove_one,15,0.4666666666666667,0.4666666666666667
story_state::latest_chapter,18,0.2222222222222222,0.2222222222222222
