retrieval_type,n_rows,mean_f1,exact_match_rate
story_compare::intersection,17,1.0,1.0
story_edit::empty,3,1.0,1.0
Times,6,0.8333333333333334,0.8333333333333334
Other entities,5,0.6,0.6
Full event details,5,0.6,0.6
Event contents,11,0.5454545454545454,0.5454545454545454
Spaces,6,0.5,0.5
story_edit::remove_one,19,0.47368421052631576,0.47368421052631576
story_compute::sort_items,18,0.3333333333333333,0.3333333333333333
story_composite::difference_then_sort,16,0.25,0.25
Entities,5,0.2,0.2
story_diff::set_difference,21,0.0,0.0
story_state::latest_chapter,18,0.0,0.0
