retrieval_type,n_rows,mean_f1,exact_match_rate
Entities,5,0.46666660000000004,0.4
Event contents,11,0.5454545454545454,0.5454545454545454
Full event details,5,0.6,0.6
Other entities,5,0.6,0.6
Spaces,6,0.5333333333333333,0.5
Times,6,0.8333333333333334,0.8333333333333334
story_compare::intersection,17,1.0,1.0
story_composite::difference_then_sort,16,0.25,0.25
story_compute::sort_items,18,0.4027777777777778,0.3888888888888889
story_diff::set_difference,21,0.03174604761904762,0.0
story_edit::empty,3,1.0,1.0
story_edit::remove_one,19,0.40350878947368424,0.3684210526315789
story_state::latest_chapter,18,0.16666666666666666,0.16666666666666666
