model,dataset,mode,mean_f1,exact_match_rate,n_rows
Llama3.1_8B_instruct,THRILLER,DP,0.408571,0.393333,150
Llama3.1_8B_instruct,NEWS,DP,0.472778,0.466667,150
Llama3.1_8B_instruct,SCIFI,DP,0.504667,0.46,150
Llama3.1_8B_instruct,THRILLER,RAG,0.437778,0.42,150
Llama3.1_8B_instruct,NEWS,RAG,0.490794,0.48,150
Llama3.1_8B_instruct,SCIFI,RAG,0.561111,0.526667,150
Phi3_mini_4K_instruct,THRILLER,DP,0.4,0.4,150
Phi3_mini_4K_instruct,NEWS,DP,0.426667,0.426667,150
Phi3_mini_4K_instruct,SCIFI,DP,0.426667,0.426667,150
Phi3_mini_4K_instruct,THRILLER,RAG,0.479333,0.46,150
Phi3_mini_4K_instruct,NEWS,RAG,0.488222,0.453333,150
Phi3_mini_4K_instruct,SCIFI,RAG,0.508889,0.486667,150
Qwen2.5_14B_Instruct,THRILLER,DP,0.37746,0.366667,150
Qwen2.5_14B_Instruct,NEWS,DP,0.438333,0.433333,150
Qwen2.5_14B_Instruct,SCIFI,DP,0.484556,0.466667,150
Qwen2.5_14B_Instruct,THRILLER,RAG,0.483016,0.453333,150
Qwen2.5_14B_Instruct,NEWS,RAG,0.506667,0.473333,150
Qwen2.5_14B_Instruct,SCIFI,RAG,0.484444,0.473333,150
Qwen3_4B_Instruct,THRILLER,DP,0.4,0.4,150
Qwen3_4B_Instruct,NEWS,DP,0.426667,0.426667,150
Qwen3_4B_Instruct,SCIFI,DP,0.426667,0.426667,150
Qwen3_4B_Instruct,THRILLER,RAG,0.434111,0.42,150
Qwen3_4B_Instruct,NEWS,RAG,0.486395,0.469388,147
Qwen3_4B_Instruct,SCIFI,RAG,0.500222,0.486667,150
