model,method,minerva_category,n_rows,mean_f1,median_f1,mean_precision,mean_recall,exact_match_rate
Llama3.1_8B_instruct,DP,Composite,63,0.3386243492063492,0.0,0.3412698412698413,0.5158730158730159,0.31746031746031744
Llama3.1_8B_instruct,DP,Compute on Sets and Lists,63,0.4331065714285714,0.0,0.4444444444444444,0.5423280476190475,0.42857142857142855
Llama3.1_8B_instruct,DP,Match and Compare,66,0.8939393939393939,1.0,0.8939393939393939,0.9696969696969697,0.8939393939393939
Llama3.1_8B_instruct,DP,Recall and Edit,66,0.5505050606060606,1.0,0.5606060606060606,0.6666666666666666,0.5303030303030303
Llama3.1_8B_instruct,DP,Search,66,0.4916666666666667,0.225,0.5151515151515151,0.5493025454545455,0.48484848484848486
Llama3.1_8B_instruct,DP,Spot the Differences,63,0.08994712698412698,0.0,0.12698412698412698,0.14285714285714285,0.015873015873015872
Llama3.1_8B_instruct,DP,Stateful Processing,63,0.41005292063492066,0.0,0.4021163968253968,0.5555555555555556,0.38095238095238093
Llama3.1_8B_instruct,RAG,Composite,63,0.42328042857142856,0.0,0.42063492063492064,0.47619047619047616,0.4126984126984127
Llama3.1_8B_instruct,RAG,Compute on Sets and Lists,63,0.4126984126984127,0.0,0.4126984126984127,0.5079365079365079,0.4126984126984127
Llama3.1_8B_instruct,RAG,Match and Compare,66,0.8939393939393939,1.0,0.8939393939393939,0.9696969696969697,0.8939393939393939
Llama3.1_8B_instruct,RAG,Recall and Edit,66,0.5909090909090909,1.0,0.6060606060606061,0.6621212121212121,0.5757575757575758
Llama3.1_8B_instruct,RAG,Search,66,0.5833333333333334,1.0,0.6060606060606061,0.6520201969696969,0.5606060606060606
Llama3.1_8B_instruct,RAG,Spot the Differences,63,0.10582014285714285,0.0,0.14285714285714285,0.1349206349206349,0.031746031746031744
Llama3.1_8B_instruct,RAG,Stateful Processing,63,0.4383975873015873,0.0,0.4312169365079365,0.5714285714285714,0.4126984126984127
Phi3_mini_4K_instruct,DP,Composite,63,0.4126984126984127,0.0,0.4126984126984127,0.4126984126984127,0.4126984126984127
Phi3_mini_4K_instruct,DP,Compute on Sets and Lists,63,0.3492063492063492,0.0,0.3492063492063492,0.3492063492063492,0.3492063492063492
Phi3_mini_4K_instruct,DP,Match and Compare,66,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697
Phi3_mini_4K_instruct,DP,Recall and Edit,66,0.6060606060606061,1.0,0.6060606060606061,0.6060606060606061,0.6060606060606061
Phi3_mini_4K_instruct,DP,Search,66,0.5,0.5,0.5,0.5,0.5
Phi3_mini_4K_instruct,DP,Spot the Differences,63,0.0,0.0,0.0,0.0,0.0
