model,book,method,condition,n_rows,mean_f1,median_f1,mean_precision,mean_recall,exact_match_rate
Llama3.1_8B_instruct,NEWS,DP,NEWS_DP,150,0.47277778000000004,0.0,0.4766666666666667,0.5542857133333334,0.4666666666666667
Llama3.1_8B_instruct,NEWS,RAG,NEWS_RAG,150,0.49079365333333336,0.142857,0.4944444466666667,0.5533333333333333,0.48
Llama3.1_8B_instruct,SCIFI,DP,SCIFI_DP,150,0.5046666866666666,0.666667,0.5255555533333333,0.60074074,0.46
Llama3.1_8B_instruct,SCIFI,RAG,SCIFI_RAG,150,0.5611111266666666,1.0,0.5766666666666667,0.6255555533333333,0.5266666666666666
Llama3.1_8B_instruct,THRILLER,DP,THRILLER_DP,150,0.40857143333333334,0.0,0.4166666666666667,0.5444444466666667,0.3933333333333333
Llama3.1_8B_instruct,THRILLER,RAG,THRILLER_RAG,150,0.43777778,0.0,0.44666666666666666,0.536,0.42
Phi3_mini_4K_instruct,NEWS,DP,NEWS_DP,150,0.4266666666666667,0.0,0.4266666666666667,0.4266666666666667,0.4266666666666667
Phi3_mini_4K_instruct,NEWS,RAG,NEWS_RAG,150,0.4882222333333333,0.5,0.49333333333333335,0.5483333333333333,0.4533333333333333
Phi3_mini_4K_instruct,SCIFI,DP,SCIFI_DP,150,0.4266666666666667,0.0,0.4266666666666667,0.4266666666666667,0.4266666666666667
Phi3_mini_4K_instruct,SCIFI,RAG,SCIFI_RAG,150,0.5088889000000001,0.666667,0.5133333333333333,0.6033333333333334,0.4866666666666667
Phi3_mini_4K_instruct,THRILLER,DP,THRILLER_DP,150,0.4,0.0,0.4,0.4,0.4
Phi3_mini_4K_instruct,THRILLER,RAG,THRILLER_RAG,150,0.4793333333333334,0.1666665,0.49666666666666665,0.5476666666666667,0.46
Qwen2.5_14B_Instruct,NEWS,DP,NEWS_DP,150,0.43833333333333335,0.0,0.44333333333333336,0.4876190466666667,0.43333333333333335
Qwen2.5_14B_Instruct,NEWS,RAG,NEWS_RAG,150,0.5066666799999999,0.666667,0.5155555533333334,0.53,0.47333333333333333
Qwen2.5_14B_Instruct,SCIFI,DP,SCIFI_DP,150,0.48455556,0.225,0.5066666666666667,0.5155820066666666,0.4666666666666667
Qwen2.5_14B_Instruct,SCIFI,RAG,SCIFI_RAG,150,0.4844444466666667,0.0,0.49333333333333335,0.5477777733333333,0.47333333333333333
Qwen2.5_14B_Instruct,THRILLER,DP,THRILLER_DP,150,0.37746032,0.0,0.38666666666666666,0.42777778000000005,0.36666666666666664
Qwen2.5_14B_Instruct,THRILLER,RAG,THRILLER_RAG,150,0.48301588,0.3095235,0.5,0.516,0.4533333333333333
Qwen3_4B_Instruct,NEWS,DP,NEWS_DP,150,0.4266666666666667,0.0,0.4266666666666667,0.4266666666666667,0.4266666666666667
Qwen3_4B_Instruct,NEWS,RAG,NEWS_RAG,147,0.48639456462585035,0.0,0.48639455782312924,0.5136054421768708,0.46938775510204084
Qwen3_4B_Instruct,SCIFI,DP,SCIFI_DP,150,0.4266666666666667,0.0,0.4266666666666667,0.4266666666666667,0.4266666666666667
Qwen3_4B_Instruct,SCIFI,RAG,SCIFI_RAG,150,0.5002222266666666,0.5833335,0.5133333333333333,0.5296296266666667,0.4866666666666667
Qwen3_4B_Instruct,THRILLER,DP,THRILLER_DP,150,0.4,0.0,0.4,0.4,0.4
Qwen3_4B_Instruct,THRILLER,RAG,THRILLER_RAG,150,0.43411111333333335,0.0,0.45,0.45985185333333334,0.42
