model,method,retrieval_type,n_rows,mean_f1,median_f1,mean_precision,mean_recall,exact_match_rate
Llama3.1_8B_instruct,DP,Entities,12,0.4166666666666667,0.0,0.4166666666666667,0.5,0.4166666666666667
Llama3.1_8B_instruct,DP,Event contents,32,0.50625,0.6,0.53125,0.50347221875,0.5
Llama3.1_8B_instruct,DP,Full event details,15,0.4666666666666667,0.0,0.4666666666666667,0.6666666666666666,0.4666666666666667
Llama3.1_8B_instruct,DP,Other entities,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667
Llama3.1_8B_instruct,DP,Spaces,18,0.4444444444444444,0.0,0.4444444444444444,0.5,0.4444444444444444
Llama3.1_8B_instruct,DP,Times,22,0.4659090909090909,0.125,0.5,0.5974025909090909,0.45454545454545453
Llama3.1_8B_instruct,DP,story_compare::intersection,51,0.9019607843137255,1.0,0.9019607843137255,1.0,0.9019607843137255
Llama3.1_8B_instruct,DP,story_composite::difference_then_sort,48,0.29861112500000003,0.0,0.3020833333333333,0.46875,0.2708333333333333
Llama3.1_8B_instruct,DP,story_compute::sort_items,54,0.4497354444444444,0.0,0.46296296296296297,0.5771605,0.4444444444444444
Llama3.1_8B_instruct,DP,story_diff::set_difference,63,0.08994712698412698,0.0,0.12698412698412698,0.14285714285714285,0.015873015873015872
Llama3.1_8B_instruct,DP,story_edit::empty,17,1.0,1.0,1.0,1.0,1.0
Llama3.1_8B_instruct,DP,story_edit::remove_one,49,0.3945578367346939,0.0,0.40816326530612246,0.5510204081632653,0.3673469387755102
Llama3.1_8B_instruct,DP,story_state::latest_chapter,54,0.404321,0.0,0.3950617222222222,0.5555555555555556,0.37037037037037035
Llama3.1_8B_instruct,RAG,Entities,12,0.5277777499999999,0.6666665,0.5833333333333334,0.6,0.5
Llama3.1_8B_instruct,RAG,Event contents,32,0.53125,1.0,0.53125,0.53125,0.53125
Llama3.1_8B_instruct,RAG,Full event details,15,0.4666666666666667,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667
Llama3.1_8B_instruct,RAG,Other entities,15,0.8666666666666667,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667
Llama3.1_8B_instruct,RAG,Spaces,18,0.5,0.5,0.5,0.6111111111111112,0.5
Llama3.1_8B_instruct,RAG,Times,22,0.41666668181818184,0.0,0.45454545454545453,0.6287878636363636,0.36363636363636365
Llama3.1_8B_instruct,RAG,story_compare::intersection,51,0.9019607843137255,1.0,0.9019607843137255,1.0,0.9019607843137255
Llama3.1_8B_instruct,RAG,story_composite::difference_then_sort,48,0.4097222291666667,0.0,0.40625,0.4791666666666667,0.3958333333333333
Llama3.1_8B_instruct,RAG,story_compute::sort_items,54,0.4444444444444444,0.0,0.4444444444444444,0.5370370370370371,0.4444444444444444
Llama3.1_8B_instruct,RAG,story_diff::set_difference,63,0.10582014285714285,0.0,0.14285714285714285,0.1349206349206349,0.031746031746031744
Llama3.1_8B_instruct,RAG,story_edit::empty,17,1.0,1.0,1.0,1.0,1.0
Llama3.1_8B_instruct,RAG,story_edit::remove_one,49,0.4489795918367347,0.0,0.46938775510204084,0.5448979591836735,0.42857142857142855
Llama3.1_8B_instruct,RAG,story_state::latest_chapter,54,0.49294533333333335,0.4761905,0.4845679074074074,0.6111111111111112,0.46296296296296297
Phi3_mini_4K_instruct,DP,Entities,12,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667
