row_key,f1_dp,exact_match_dp,f1_rag,exact_match_rag,diff_f1,diff_em,model,book,n_dp,n_rag,n_paired,delta_f1_rag_minus_dp
combined_q_idx:0,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:1,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:2,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:3,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:4,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:5,0.0,0,1.0,1,-1.0,-1,Llama3.1_8B_instruct,NEWS,150,150,150,1.0
combined_q_idx:6,0.0,0,1.0,1,-1.0,-1,Llama3.1_8B_instruct,NEWS,150,150,150,1.0
combined_q_idx:7,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:8,0.0,0,0.285714,0,-0.285714,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.285714
combined_q_idx:9,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:10,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:11,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:12,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:13,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:14,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:15,0.0,0,1.0,1,-1.0,-1,Llama3.1_8B_instruct,NEWS,150,150,150,1.0
combined_q_idx:16,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:17,1.0,1,0.0,0,1.0,1,Llama3.1_8B_instruct,NEWS,150,150,150,-1.0
combined_q_idx:18,0.666667,0,0.0,0,0.666667,0,Llama3.1_8B_instruct,NEWS,150,150,150,-0.666667
combined_q_idx:19,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:20,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:21,0.0,0,1.0,1,-1.0,-1,Llama3.1_8B_instruct,NEWS,150,150,150,1.0
combined_q_idx:22,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:23,1.0,1,0.0,0,1.0,1,Llama3.1_8B_instruct,NEWS,150,150,150,-1.0
combined_q_idx:24,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:25,1.0,1,0.0,0,1.0,1,Llama3.1_8B_instruct,NEWS,150,150,150,-1.0
combined_q_idx:26,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:27,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:28,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:29,0.0,0,1.0,1,-1.0,-1,Llama3.1_8B_instruct,NEWS,150,150,150,1.0
combined_q_idx:30,1.0,1,0.0,0,1.0,1,Llama3.1_8B_instruct,NEWS,150,150,150,-1.0
combined_q_idx:31,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:32,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:33,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:34,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:35,0.0,0,1.0,1,-1.0,-1,Llama3.1_8B_instruct,NEWS,150,150,150,1.0
combined_q_idx:36,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:37,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:38,1.0,1,0.0,0,1.0,1,Llama3.1_8B_instruct,NEWS,150,150,150,-1.0
combined_q_idx:39,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:40,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:41,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:42,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:43,1.0,1,1.0,1,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
combined_q_idx:44,0.0,0,1.0,1,-1.0,-1,Llama3.1_8B_instruct,NEWS,150,150,150,1.0
combined_q_idx:45,0.0,0,1.0,1,-1.0,-1,Llama3.1_8B_instruct,NEWS,150,150,150,1.0
combined_q_idx:46,0.0,0,0.0,0,0.0,0,Llama3.1_8B_instruct,NEWS,150,150,150,0.0
