model,retrieval_type,n_rag,f1_rag_weighted,n_dp,f1_dp_weighted,delta_rag_minus_dp
Llama3.1_8B_instruct,Entities,12,0.5277777499999999,12,0.4166666666666667,0.11111108333333325
Llama3.1_8B_instruct,Event contents,32,0.53125,32,0.50625,0.025000000000000022
Llama3.1_8B_instruct,Full event details,15,0.4666666666666667,15,0.4666666666666667,0.0
Llama3.1_8B_instruct,Other entities,15,0.8666666666666667,15,0.8666666666666667,0.0
Llama3.1_8B_instruct,Spaces,18,0.5,18,0.4444444444444444,0.05555555555555558
Llama3.1_8B_instruct,Times,22,0.41666668181818184,22,0.4659090909090909,-0.049242409090909045
Llama3.1_8B_instruct,story_compare::intersection,51,0.9019607843137255,51,0.9019607843137255,0.0
Llama3.1_8B_instruct,story_composite::difference_then_sort,48,0.4097222291666667,48,0.29861112500000003,0.11111110416666664
Llama3.1_8B_instruct,story_compute::sort_items,54,0.4444444444444444,54,0.4497354444444444,-0.00529099999999999
Llama3.1_8B_instruct,story_diff::set_difference,63,0.10582014285714285,63,0.08994712698412698,0.015873015873015872
Llama3.1_8B_instruct,story_edit::empty,17,1.0,17,1.0,0.0
Llama3.1_8B_instruct,story_edit::remove_one,49,0.4489795918367347,49,0.3945578367346939,0.05442175510204078
Llama3.1_8B_instruct,story_state::latest_chapter,54,0.49294533333333335,54,0.404321,0.08862433333333336
Phi3_mini_4K_instruct,Entities,12,0.6527777499999999,12,0.4166666666666667,0.23611108333333325
Phi3_mini_4K_instruct,Event contents,32,0.515625,32,0.5,0.015625
Phi3_mini_4K_instruct,Full event details,15,0.4666666666666667,15,0.4666666666666667,0.0
Phi3_mini_4K_instruct,Other entities,15,0.6666666666666666,15,0.8666666666666667,-0.20000000000000007
Phi3_mini_4K_instruct,Spaces,18,0.4444444444444444,18,0.4444444444444444,0.0
Phi3_mini_4K_instruct,Times,22,0.2803030454545455,22,0.45454545454545453,-0.17424240909090905
Phi3_mini_4K_instruct,story_compare::intersection,51,0.9215686274509803,51,1.0,-0.07843137254901966
Phi3_mini_4K_instruct,story_composite::difference_then_sort,48,0.3680555625,48,0.3958333333333333,-0.027777770833333326
Phi3_mini_4K_instruct,story_compute::sort_items,54,0.4660493888888889,54,0.35185185185185186,0.11419753703703706
Phi3_mini_4K_instruct,story_diff::set_difference,63,0.06349209523809524,63,0.0,0.06349209523809524
Phi3_mini_4K_instruct,story_edit::empty,17,0.9411764705882353,17,1.0,-0.05882352941176472
Phi3_mini_4K_instruct,story_edit::remove_one,49,0.47891157142857144,49,0.46938775510204084,0.009523816326530599
Phi3_mini_4K_instruct,story_state::latest_chapter,54,0.6049382777777778,54,0.0,0.6049382777777778
Qwen2.5_14B_Instruct,Entities,12,0.6111110833333333,12,0.5,0.1111110833333333
Qwen2.5_14B_Instruct,Event contents,32,0.625,32,0.5921875,0.03281250000000002
Qwen2.5_14B_Instruct,Full event details,15,0.4666666666666667,15,0.4666666666666667,0.0
Qwen2.5_14B_Instruct,Other entities,15,0.8666666666666667,15,0.8666666666666667,0.0
Qwen2.5_14B_Instruct,Spaces,18,0.5555555555555556,18,0.5,0.05555555555555558
Qwen2.5_14B_Instruct,Times,22,0.49242427272727274,22,0.5113636363636364,-0.018939363636363615
Qwen2.5_14B_Instruct,story_compare::intersection,51,1.0,51,0.9803921568627451,0.019607843137254943
Qwen2.5_14B_Instruct,story_composite::difference_then_sort,48,0.3333333333333333,48,0.3055555625,0.027777770833333326
Qwen2.5_14B_Instruct,story_compute::sort_items,54,0.4537037037037037,54,0.3664021111111111,0.08730159259259263
Qwen2.5_14B_Instruct,story_diff::set_difference,63,0.09259263492063492,63,0.026455031746031744,0.06613760317460318
Qwen2.5_14B_Instruct,story_edit::empty,17,1.0,17,1.0,0.0
Qwen2.5_14B_Instruct,story_edit::remove_one,49,0.39018465306122446,49,0.42312926530612244,-0.032944612244897975
Qwen2.5_14B_Instruct,story_state::latest_chapter,54,0.3611111111111111,54,0.1111111111111111,0.25
Qwen3_4B_Instruct,Entities,12,0.6944444166666667,12,0.4166666666666667,0.27777775
Qwen3_4B_Instruct,Event contents,32,0.5375,32,0.5,0.03749999999999998
Qwen3_4B_Instruct,Full event details,15,0.4666666666666667,15,0.4666666666666667,0.0
Qwen3_4B_Instruct,Other entities,15,0.8666666666666667,15,0.8666666666666667,0.0
Qwen3_4B_Instruct,Spaces,18,0.6222222222222222,18,0.4444444444444444,0.1777777777777778
Qwen3_4B_Instruct,Times,21,0.5317460476190476,22,0.45454545454545453,0.07720059307359312
Qwen3_4B_Instruct,story_compare::intersection,50,1.0,51,1.0,0.0
Qwen3_4B_Instruct,story_composite::difference_then_sort,48,0.3958333333333333,48,0.3958333333333333,0.0
Qwen3_4B_Instruct,story_compute::sort_items,53,0.42924528301886794,54,0.35185185185185186,0.07739343116701608
Qwen3_4B_Instruct,story_diff::set_difference,63,0.04232806349206349,63,0.0,0.04232806349206349
Qwen3_4B_Instruct,story_edit::empty,17,1.0,17,1.0,0.0
Qwen3_4B_Instruct,story_edit::remove_one,49,0.4217687142857143,49,0.46938775510204084,-0.04761904081632656
Qwen3_4B_Instruct,story_state::latest_chapter,54,0.2160493888888889,54,0.0,0.2160493888888889
